RoundNumber,Country,Location,OfficialEventName,EventFormat,Session1,Date_Session_1,Local_Time_Session1,Session2,Date_Session_2,Local_Time_Session2,Session3,Date_Session_3,Local_Time_Session3,Session4,Date_Session_4,Local_Time_Session4,Session5,Date_Session_5,Local_Time_Session5
0,Bahrain,Sakhir,ARAMCO PRE-SEASON TESTING 2024,testing,Pre-Season,2024-02-21,08:00:00,Pre-Season,2024-02-22,08:00:00,Pre-Season,2024-02-23,08:00:00,Pre-Season,,,Pre-Season,,
1,Bahrain,Sakhir,GULF AIR BAHRAIN GRAND PRIX 2024,conventional,Practice 1,2024-02-29,12:30:00,Practice 2,2024-02-29,16:00:00,Practice 3,2024-03-01,13:30:00,Qualifying,2024-03-01,17:00:00,Race,2024-03-02,16:00:00
2,Saudi Arabia,Jeddah,STC SAUDI ARABIAN GRAND PRIX 2024,conventional,Practice 1,2024-03-07,14:30:00,Practice 2,2024-03-07,18:10:00,Practice 3,2024-03-08,14:30:00,Qualifying,2024-03-08,18:00:00,Race,2024-03-09,18:00:00
3,Australia,Melbourne,ROLEX AUSTRALIAN GRAND PRIX 2024,conventional,Practice 1,2024-03-22,02:30:00,Practice 2,2024-03-22,06:00:00,Practice 3,2024-03-23,02:30:00,Qualifying,2024-03-23,06:00:00,Race,2024-03-24,05:00:00
4,Japan,Suzuka,MSC CRUISES JAPANESE GRAND PRIX 2024,conventional,Practice 1,2024-04-05,03:30:00,Practice 2,2024-04-05,07:00:00,Practice 3,2024-04-06,03:30:00,Qualifying,2024-04-06,07:00:00,Race,2024-04-07,06:00:00
5,China,Shanghai,LENOVO CHINESE GRAND PRIX 2024,sprint_qualifying,Practice 1,2024-04-19,04:30:00,Sprint Qualifying,2024-04-19,08:30:00,Sprint,2024-04-20,04:00:00,Qualifying,2024-04-20,08:00:00,Race,2024-04-21,08:00:00
6,United States,Miami,CRYPTO.COM MIAMI GRAND PRIX 2024,sprint_qualifying,Practice 1,2024-05-03,17:30:00,Sprint Qualifying,2024-05-03,21:30:00,Sprint,2024-05-04,17:00:00,Qualifying,2024-05-04,21:00:00,Race,2024-05-05,21:00:00
7,Italy,Imola,MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,conventional,Practice 1,2024-05-17,12:30:00,Practice 2,2024-05-17,16:00:00,Practice 3,2024-05-18,11:30:00,Qualifying,2024-05-18,15:00:00,Race,2024-05-19,14:00:00
8,Monaco,Monaco,GRAND PRIX DE MONACO 2024,conventional,Practice 1,2024-05-24,12:30:00,Practice 2,2024-05-24,16:00:00,Practice 3,2024-05-25,11:30:00,Qualifying,2024-05-25,15:00:00,Race,2024-05-26,14:00:00
9,Canada,Montréal,AWS GRAND PRIX DU CANADA 2024,conventional,Practice 1,2024-06-07,18:30:00,Practice 2,2024-06-07,22:00:00,Practice 3,2024-06-08,17:30:00,Qualifying,2024-06-08,21:00:00,Race,2024-06-09,19:00:00
10,Spain,Barcelona,ARAMCO GRAN PREMIO DE ESPAÑA 2024,conventional,Practice 1,2024-06-21,12:30:00,Practice 2,2024-06-21,16:00:00,Practice 3,2024-06-22,11:30:00,Qualifying,2024-06-22,15:00:00,Race,2024-06-23,14:00:00
11,Austria,Spielberg,QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,sprint_qualifying,Practice 1,2024-06-28,11:30:00,Sprint Qualifying,2024-06-28,15:30:00,Sprint,2024-06-29,11:00:00,Qualifying,2024-06-29,15:00:00,Race,2024-06-30,14:00:00
12,United Kingdom,Silverstone,QATAR AIRWAYS BRITISH GRAND PRIX 2024,conventional,Practice 1,2024-07-05,12:30:00,Practice 2,2024-07-05,16:00:00,Practice 3,2024-07-06,11:30:00,Qualifying,2024-07-06,15:00:00,Race,2024-07-07,15:00:00
13,Hungary,Budapest,HUNGARIAN GRAND PRIX 2024,conventional,Practice 1,2024-07-19,12:30:00,Practice 2,2024-07-19,16:00:00,Practice 3,2024-07-20,11:30:00,Qualifying,2024-07-20,15:00:00,Race,2024-07-21,14:00:00
14,Belgium,Spa-Francorchamps,ROLEX BELGIAN GRAND PRIX 2024,conventional,Practice 1,2024-07-26,12:30:00,Practice 2,2024-07-26,16:00:00,Practice 3,2024-07-27,11:30:00,Qualifying,2024-07-27,15:00:00,Race,2024-07-28,14:00:00
15,Netherlands,Zandvoort,HEINEKEN DUTCH GRAND PRIX 2024,conventional,Practice 1,2024-08-23,11:30:00,Practice 2,2024-08-23,15:00:00,Practice 3,2024-08-24,10:30:00,Qualifying,2024-08-24,14:00:00,Race,2024-08-25,14:00:00
16,Italy,Monza,PIRELLI GRAN PREMIO D’ITALIA 2024,conventional,Practice 1,2024-08-30,12:30:00,Practice 2,2024-08-30,16:00:00,Practice 3,2024-08-31,11:30:00,Qualifying,2024-08-31,15:00:00,Race,2024-09-01,14:00:00
17,Azerbaijan,Baku,QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,conventional,Practice 1,2024-09-13,10:30:00,Practice 2,2024-09-13,14:00:00,Practice 3,2024-09-14,09:30:00,Qualifying,2024-09-14,13:00:00,Race,2024-09-15,12:00:00
18,Singapore,Marina Bay,SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,conventional,Practice 1,2024-09-20,10:30:00,Practice 2,2024-09-20,14:00:00,Practice 3,2024-09-21,10:30:00,Qualifying,2024-09-21,14:00:00,Race,2024-09-22,13:00:00
19,United States,Austin,PIRELLI UNITED STATES GRAND PRIX 2024,sprint_qualifying,Practice 1,2024-10-18,18:30:00,Sprint Qualifying,2024-10-18,22:30:00,Sprint,2024-10-19,19:00:00,Qualifying,2024-10-19,23:00:00,Race,2024-10-20,20:00:00
20,Mexico,Mexico City,GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,conventional,Practice 1,2024-10-25,19:30:00,Practice 2,2024-10-25,23:00:00,Practice 3,2024-10-26,18:30:00,Qualifying,2024-10-26,22:00:00,Race,2024-10-27,21:00:00
21,Brazil,São Paulo,LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,sprint_qualifying,Practice 1,2024-11-01,15:30:00,Sprint Qualifying,2024-11-01,19:30:00,Sprint,2024-11-02,15:00:00,Qualifying,2024-11-03,11:30:00,Race,2024-11-03,16:30:00
22,United States,Las Vegas,HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024,conventional,Practice 1,2024-11-22,03:30:00,Practice 2,2024-11-22,07:00:00,Practice 3,2024-11-23,03:30:00,Qualifying,2024-11-23,07:00:00,Race,2024-11-24,07:00:00
23,Qatar,Lusail,QATAR AIRWAYS QATAR GRAND PRIX 2024,sprint_qualifying,Practice 1,2024-11-29,14:30:00,Sprint Qualifying,2024-11-29,18:30:00,Sprint,2024-11-30,15:00:00,Qualifying,2024-11-30,19:00:00,Race,2024-12-01,17:00:00
24,United Arab Emirates,Yas Island,ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024,conventional,Practice 1,2024-12-06,10:30:00,Practice 2,2024-12-06,14:00:00,Practice 3,2024-12-07,11:30:00,Qualifying,2024-12-07,15:00:00,Race,2024-12-08,14:00:00
