LapNumber,LapTime,Driver
1.0,0 days 00:01:37.248000,ALO
2.0,0 days 00:01:34.175000,ALO
3.0,0 days 00:01:33.258000,ALO
4.0,0 days 00:01:33.472000,ALO
5.0,0 days 00:01:33.756000,ALO
6.0,0 days 00:01:32.942000,ALO
7.0,0 days 00:01:33.067000,ALO
8.0,0 days 00:01:32.997000,ALO
9.0,0 days 00:01:32.951000,ALO
10.0,0 days 00:01:33.065000,ALO
11.0,0 days 00:01:32.999000,ALO
12.0,0 days 00:01:32.728000,ALO
13.0,0 days 00:01:32.399000,ALO
14.0,0 days 00:01:32.774000,ALO
15.0,0 days 00:01:33.718000,ALO
16.0,0 days 00:01:32.839000,ALO
17.0,0 days 00:01:32.938000,ALO
18.0,0 days 00:01:32.851000,ALO
19.0,0 days 00:01:32.948000,ALO
20.0,0 days 00:01:32.461000,ALO
21.0,0 days 00:01:32.426000,ALO
22.0,0 days 00:01:32.514000,ALO
23.0,0 days 00:01:32.266000,ALO
24.0,0 days 00:01:37.282000,ALO
25.0,0 days 00:01:47.051000,ALO
26.0,0 days 00:01:32.135000,ALO
27.0,0 days 00:01:32.721000,ALO
28.0,0 days 00:01:32.228000,ALO
29.0,0 days 00:01:32.394000,ALO
30.0,0 days 00:01:32.693000,ALO
31.0,0 days 00:01:32.591000,ALO
32.0,0 days 00:01:32.302000,ALO
33.0,0 days 00:01:32.355000,ALO
34.0,0 days 00:01:32.404000,ALO
35.0,0 days 00:01:31.944000,ALO
36.0,0 days 00:01:32.007000,ALO
37.0,0 days 00:01:31.466000,ALO
38.0,0 days 00:01:31.347000,ALO
39.0,0 days 00:01:31.404000,ALO
40.0,0 days 00:01:31.514000,ALO
41.0,0 days 00:01:31.290000,ALO
42.0,0 days 00:01:31.262000,ALO
43.0,0 days 00:01:31.212000,ALO
44.0,0 days 00:01:31.760000,ALO
45.0,0 days 00:01:31.601000,ALO
46.0,0 days 00:01:31.917000,ALO
47.0,0 days 00:01:31.613000,ALO
48.0,0 days 00:01:31.585000,ALO
49.0,0 days 00:01:31.690000,ALO
50.0,0 days 00:01:31.873000,ALO
51.0,0 days 00:01:30.798000,ALO
52.0,0 days 00:01:32.252000,ALO
53.0,0 days 00:01:31.735000,ALO
54.0,0 days 00:01:31.454000,ALO
55.0,0 days 00:01:31.760000,ALO
56.0,0 days 00:01:31.595000,ALO
57.0,0 days 00:01:30.519000,ALO
1.0,0 days 00:01:37.248000,VER
2.0,0 days 00:01:34.175000,VER
3.0,0 days 00:01:33.258000,VER
4.0,0 days 00:01:33.472000,VER
5.0,0 days 00:01:33.756000,VER
6.0,0 days 00:01:32.942000,VER
7.0,0 days 00:01:33.067000,VER
8.0,0 days 00:01:32.997000,VER
9.0,0 days 00:01:32.951000,VER
10.0,0 days 00:01:33.065000,VER
11.0,0 days 00:01:32.999000,VER
12.0,0 days 00:01:32.728000,VER
13.0,0 days 00:01:32.399000,VER
14.0,0 days 00:01:32.774000,VER
15.0,0 days 00:01:33.718000,VER
16.0,0 days 00:01:32.839000,VER
17.0,0 days 00:01:32.938000,VER
18.0,0 days 00:01:32.851000,VER
19.0,0 days 00:01:32.948000,VER
20.0,0 days 00:01:32.461000,VER
21.0,0 days 00:01:32.426000,VER
22.0,0 days 00:01:32.514000,VER
23.0,0 days 00:01:32.266000,VER
24.0,0 days 00:01:37.282000,VER
25.0,0 days 00:01:47.051000,VER
26.0,0 days 00:01:32.135000,VER
27.0,0 days 00:01:32.721000,VER
28.0,0 days 00:01:32.228000,VER
29.0,0 days 00:01:32.394000,VER
30.0,0 days 00:01:32.693000,VER
31.0,0 days 00:01:32.591000,VER
32.0,0 days 00:01:32.302000,VER
33.0,0 days 00:01:32.355000,VER
34.0,0 days 00:01:32.404000,VER
35.0,0 days 00:01:31.944000,VER
36.0,0 days 00:01:32.007000,VER
37.0,0 days 00:01:31.466000,VER
38.0,0 days 00:01:31.347000,VER
39.0,0 days 00:01:31.404000,VER
40.0,0 days 00:01:31.514000,VER
41.0,0 days 00:01:31.290000,VER
42.0,0 days 00:01:31.262000,VER
43.0,0 days 00:01:31.212000,VER
44.0,0 days 00:01:31.760000,VER
45.0,0 days 00:01:31.601000,VER
46.0,0 days 00:01:31.917000,VER
47.0,0 days 00:01:31.613000,VER
48.0,0 days 00:01:31.585000,VER
49.0,0 days 00:01:31.690000,VER
50.0,0 days 00:01:31.873000,VER
51.0,0 days 00:01:30.798000,VER
52.0,0 days 00:01:32.252000,VER
53.0,0 days 00:01:31.735000,VER
54.0,0 days 00:01:31.454000,VER
55.0,0 days 00:01:31.760000,VER
56.0,0 days 00:01:31.595000,VER
57.0,0 days 00:01:30.519000,VER
